2025-04-11 19:35:12 startup archives unpack
2025-04-11 19:35:12 install libssl1.1:amd64 <none> 1.1.1f-1ubuntu2.24
2025-04-11 19:35:12 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.17
2025-04-11 19:35:12 status half-installed libssl1.1:amd64 1.1.1f-1ubuntu2.24
2025-04-11 19:35:13 status unpacked libssl1.1:amd64 1.1.1f-1ubuntu2.24
2025-04-11 19:35:13 install libpython3.8-minimal:amd64 <none> 3.8.10-0ubuntu1~20.04.18
2025-04-11 19:35:13 status half-installed libpython3.8-minimal:amd64 3.8.10-0ubuntu1~20.04.18
2025-04-11 19:35:13 status unpacked libpython3.8-minimal:amd64 3.8.10-0ubuntu1~20.04.18
2025-04-11 19:35:13 install libexpat1:amd64 <none> 2.2.9-1ubuntu0.8
2025-04-11 19:35:13 status half-installed libexpat1:amd64 2.2.9-1ubuntu0.8
2025-04-11 19:35:13 status unpacked libexpat1:amd64 2.2.9-1ubuntu0.8
2025-04-11 19:35:13 install python3.8-minimal:amd64 <none> 3.8.10-0ubuntu1~20.04.18
2025-04-11 19:35:13 status half-installed python3.8-minimal:amd64 3.8.10-0ubuntu1~20.04.18
2025-04-11 19:35:13 status unpacked python3.8-minimal:amd64 3.8.10-0ubuntu1~20.04.18
2025-04-11 19:35:13 startup packages configure
2025-04-11 19:35:13 configure libssl1.1:amd64 1.1.1f-1ubuntu2.24 <none>
2025-04-11 19:35:13 status unpacked libssl1.1:amd64 1.1.1f-1ubuntu2.24
2025-04-11 19:35:13 status half-configured libssl1.1:amd64 1.1.1f-1ubuntu2.24
2025-04-11 19:35:14 status installed libssl1.1:amd64 1.1.1f-1ubuntu2.24
2025-04-11 19:35:14 configure libpython3.8-minimal:amd64 3.8.10-0ubuntu1~20.04.18 <none>
2025-04-11 19:35:14 status unpacked libpython3.8-minimal:amd64 3.8.10-0ubuntu1~20.04.18
2025-04-11 19:35:14 status half-configured libpython3.8-minimal:amd64 3.8.10-0ubuntu1~20.04.18
2025-04-11 19:35:14 status installed libpython3.8-minimal:amd64 3.8.10-0ubuntu1~20.04.18
2025-04-11 19:35:14 configure libexpat1:amd64 2.2.9-1ubuntu0.8 <none>
2025-04-11 19:35:14 status unpacked libexpat1:amd64 2.2.9-1ubuntu0.8
2025-04-11 19:35:14 status half-configured libexpat1:amd64 2.2.9-1ubuntu0.8
2025-04-11 19:35:14 status installed libexpat1:amd64 2.2.9-1ubuntu0.8
